maze_size,run,seed,algorithm,family,solved,path_length,nodes_explored,max_frontier,iterations,converged,elapsed_time_s
5,1,5001,DFS,Search,True,17,17,2,N/A,N/A,0.0004143000114709139
5,1,5001,BFS,Search,True,17,19,2,N/A,N/A,0.000224800081923604
5,1,5001,A*-Manhattan,Search,True,17,17,2,N/A,N/A,0.0007311999797821045
5,1,5001,A*-Euclidean,Search,True,17,17,2,N/A,N/A,9.780004620552063e-05
5,1,5001,Value Iteration,MDP,True,17,1728,N/A,9,True,0.008737999945878983
5,1,5001,Policy Iteration,MDP,True,17,72192,N/A,13,True,0.3082468998618424
5,2,5002,DFS,Search,True,25,25,2,N/A,N/A,8.110003545880318e-05
5,2,5002,BFS,Search,True,25,31,2,N/A,N/A,8.330005221068859e-05
5,2,5002,A*-Manhattan,Search,True,25,25,2,N/A,N/A,0.00010980013757944107
5,2,5002,A*-Euclidean,Search,True,25,25,2,N/A,N/A,9.560002945363522e-05
5,2,5002,Value Iteration,MDP,True,25,2112,N/A,11,True,0.013910199981182814
5,2,5002,Policy Iteration,MDP,True,25,72816,N/A,23,True,0.28679789998568594
5,3,5003,DFS,Search,True,17,17,2,N/A,N/A,0.00010289996862411499
5,3,5003,BFS,Search,True,17,19,2,N/A,N/A,5.679996684193611e-05
5,3,5003,A*-Manhattan,Search,True,17,17,2,N/A,N/A,7.310020737349987e-05
5,3,5003,A*-Euclidean,Search,True,17,17,2,N/A,N/A,6.969994865357876e-05
5,3,5003,Value Iteration,MDP,True,17,1344,N/A,7,True,0.007104000076651573
5,3,5003,Policy Iteration,MDP,True,17,72048,N/A,15,True,0.27111139986664057
10,1,10001,DFS,Search,True,81,81,4,N/A,N/A,0.0004313001409173012
10,1,10001,BFS,Search,True,81,93,3,N/A,N/A,0.00027219997718930244
10,1,10001,A*-Manhattan,Search,True,81,89,3,N/A,N/A,0.0003611000720411539
10,1,10001,A*-Euclidean,Search,True,81,89,3,N/A,N/A,0.00041690003126859665
10,1,10001,Value Iteration,MDP,True,81,34056,N/A,43,True,0.1369713000021875
10,1,10001,Policy Iteration,MDP,True,81,368082,N/A,71,True,1.4236423000693321
10,2,10002,DFS,Search,True,61,61,6,N/A,N/A,0.0003380000125616789
10,2,10002,BFS,Search,True,61,79,2,N/A,N/A,0.00019809999503195286
10,2,10002,A*-Manhattan,Search,True,61,71,3,N/A,N/A,0.00023980019614100456
10,2,10002,A*-Euclidean,Search,True,61,71,3,N/A,N/A,0.0002549998462200165
10,2,10002,Value Iteration,MDP,True,61,30096,N/A,38,True,0.1188927001785487
10,2,10002,Policy Iteration,MDP,True,61,351054,N/A,59,True,1.3655099000316113
10,3,10003,DFS,Search,True,85,85,6,N/A,N/A,0.0004191999323666096
10,3,10003,BFS,Search,True,85,95,2,N/A,N/A,0.00023520016111433506
10,3,10003,A*-Manhattan,Search,True,85,93,2,N/A,N/A,0.0007297999691218138
10,3,10003,A*-Euclidean,Search,True,85,93,3,N/A,N/A,0.00038670003414154053
10,3,10003,Value Iteration,MDP,True,85,33264,N/A,42,True,0.1503363000229001
10,3,10003,Policy Iteration,MDP,True,85,363330,N/A,66,True,1.4379417998716235
20,1,20001,DFS,Search,True,145,145,4,N/A,N/A,0.0004797999281436205
20,1,20001,BFS,Search,True,145,219,5,N/A,N/A,0.000820700079202652
20,1,20001,A*-Manhattan,Search,True,145,167,3,N/A,N/A,0.0016257998067885637
20,1,20001,A*-Euclidean,Search,True,145,168,3,N/A,N/A,0.0006385999731719494
20,1,20001,Value Iteration,MDP,True,145,402192,N/A,126,True,1.7489022000227123
20,1,20001,Policy Iteration,MDP,True,145,1974252,N/A,165,True,7.676753199892119
20,2,20002,DFS,Search,True,405,423,15,N/A,N/A,0.0010867000091820955
20,2,20002,BFS,Search,True,405,663,6,N/A,N/A,0.00805990002118051
