maze_size,algorithm,family,runs,solved_count,mean_path_length,std_path_length,mean_nodes_explored,std_nodes_explored,ci95_nodes_explored,mean_time_s,std_time_s,ci95_time_s
5,A*-Euclidean,Search,3,3,19.666666666666668,4.618802153517006,19.666666666666668,4.618802153517006,5.226666666666667,8.770000810424487e-05,1.5627271789976004e-05,1.76839227662985e-05
5,A*-Manhattan,Search,3,3,19.666666666666668,4.618802153517006,19.666666666666668,4.618802153517006,5.226666666666667,0.00030470010824501514,0.00036981526000848795,0.0004184853622360106
5,BFS,Search,3,3,19.666666666666668,4.618802153517006,23,6.928203230275509,7.84,0.00012163336699207623,9.032215638180993e-05,0.00010220914174961786
5,DFS,Search,3,3,19.666666666666668,4.618802153517006,19.666666666666668,4.618802153517006,5.226666666666667,0.000199433338517944,0.00018639896628176858,0.00021093028698451624
5,Policy Iteration,MDP,3,3,19.666666666666668,4.618802153517006,72352,408.23522630953835,461.9616468928996,0.2887187332380563,0.0186421173760109,0.021095541711196805
5,Value Iteration,MDP,3,3,19.666666666666668,4.618802153517006,1728,384.0,434.53690660288,0.00991740000123779,0.003553072987295017,0.004020680585503725
10,A*-Euclidean,Search,3,3,75.66666666666667,12.858201014657274,84.33333333333333,11.718930554164631,13.261218311720501,0.00035286663721005124,8.608972958857466e-05,9.741969996275431e-05
10,A*-Manhattan,Search,3,3,75.66666666666667,12.858201014657274,84.33333333333333,11.718930554164631,13.261218311720501,0.00044356674576799077,0.0002551969995650175,0.00028878259053468546
10,BFS,Search,3,3,75.66666666666667,12.858201014657274,89,8.717797887081348,9.865116995420449,0.00023516671111186346,3.7050002403601555e-05,4.1926024567943455e-05
10,DFS,Search,3,3,75.66666666666667,12.858201014657274,75.66666666666667,12.858201014657274,14.550424201529124,0.0003961666952818632,5.073584527477097e-05,5.741301369682636e-05
10,Policy Iteration,MDP,3,3,75.66666666666667,12.858201014657274,360822,8786.679919059303,9943.064352441857,1.409031333324189,0.03836281129595625,0.04341160768003867
10,Value Iteration,MDP,3,3,75.66666666666667,12.858201014657274,32472,2095.435038363156,2371.20796759795,0.13540010006787875,0.015780573332997216,0.01785739979307424
20,A*-Euclidean,Search,3,3,286.3333333333333,131.47369825685035,441.3333333333333,239.0027893840014,270.4571165843323,0.002187433342138926,0.001352794006866265,0.0015308305286838072
20,A*-Manhattan,Search,3,3,286.3333333333333,131.47369825685035,439,238.0,269.3223535715766,0.006567466538399458,0.004288320284218351,0.004852691226111003
20,BFS,Search,3,3,286.3333333333333,131.47369825685035,481.6666666666667,232.90627585647695,263.5582620809128,0.00365020000996689,0.0038696612475347548,0.004378933927356233
20,DFS,Search,3,3,286.3333333333333,131.47369825685035,297.6666666666667,141.00118202814235,159.5578579840067,0.0008420333421478668,0.00032007558808187954,0.00036219962480259785
20,Policy Iteration,MDP,3,3,286.3333333333333,131.47369825685035,2291590,348968.17677834176,394894.6667711135,8.894817866695425,1.3433206338019974,1.5201103978857813
20,Value Iteration,MDP,3,3,286.3333333333333,131.47369825685035,661808,272076.2636614962,307883.275967542,2.621793033244709,0.9716567628658569,1.0995331354570248
30,A*-Euclidean,Search,3,3,675.6666666666666,85.54141297250901,1357.3333333333333,308.4174659991443,349.00721775408095,0.005529833336671193,0.0011450030229861964,0.001295692894946271
30,A*-Manhattan,Search,3,3,675.6666666666666,85.54141297250901,1323.6666666666667,301.86310363032663,341.59025851319456,0.006527000029260914,0.0030501794669652643,0.003451602995204967
30,BFS,Search,3,3,675.6666666666666,85.54141297250901,1473.6666666666667,291.81729443837514,330.222355256441,0.007706366789837678,0.002151956968336443,0.0024351685525089315
30,DFS,Search,3,3,675.6666666666666,85.54141297250901,975.6666666666666,205.8381241007927,232.92776486379734,0.0037666334149738154,0.0016808188943250898,0.0019020256325512955
30,Policy Iteration,MDP,3,3,675.6666666666666,85.54141297250901,8202476,641508.1577002743,725934.8187697647,31.835489833339427,2.320196293102452,2.625549270615126
30,Value Iteration,MDP,3,3,675.6666666666666,85.54141297250901,4075466.6666666665,615213.8420982849,696179.9995954722,15.845470766692111,2.3854908493701004,2.6994370167051045
50,A*-Euclidean,Search,3,3,1518.3333333333333,681.5785599131866,2719,1406.894807723733,1592.0513480831369,0.012704366740460197,0.0056046490569188695,0.006342257457781964
50,A*-Manhattan,Search,3,3,1518.3333333333333,681.5785599131866,2686.3333333333335,1434.1566627580592,1622.9010411947831,0.010482299995298186,0.004882395348610319,0.005524950446868275
50,BFS,Search,3,3,1518.3333333333333,681.5785599131866,2849,1387.7694332993503,1570.408949541488,0.009077299929534396,0.00469649473439486,0.005314584098335044
50,DFS,Search,3,3,1518.3333333333333,681.5785599131866,1718.3333333333333,843.3891944608571,954.384717769051,0.01115120000516375,0.0078048220233877036,0.008831987548512821
50,Policy Iteration,MDP,3,2,1135,217.78888860545663,37729902,1173593.831164769,1328046.4401108364,173.40872530002767,28.848307873463334,32.64493350016214
50,Value Iteration,MDP,3,2,1135,217.78888860545663,24403568,2805749.7691761465,3175004.753644654,104.2936809999713,16.238454392144543,18.3755409884751
