maze_size,run,seed,gamma,algorithm,solved,path_length,nodes_explored,iterations,converged,elapsed_time_s
5,1,5001,0.9,Value Iteration,True,17,1728,9,True,0.008863700088113546
5,1,5001,0.9,Policy Iteration,True,17,10320,13,True,0.04429559991694987
5,1,5001,0.95,Value Iteration,True,17,1728,9,True,0.007624099962413311
5,1,5001,0.95,Policy Iteration,True,17,17904,16,True,0.07250130013562739
5,1,5001,0.99,Value Iteration,True,17,1728,9,True,0.0073582998011261225
5,1,5001,0.99,Policy Iteration,True,17,72864,18,True,0.30785959982313216
5,2,5002,0.9,Value Iteration,True,25,2112,11,True,0.021258899942040443
5,2,5002,0.9,Policy Iteration,True,25,13104,23,True,0.051697300048545
5,2,5002,0.95,Value Iteration,True,25,2112,11,True,0.008071300107985735
5,2,5002,0.95,Policy Iteration,True,25,19488,21,True,0.08563510002568364
5,2,5002,0.99,Value Iteration,True,25,2112,11,True,0.009332600049674511
5,2,5002,0.99,Policy Iteration,True,25,74304,23,True,0.2892966999206692
5,3,5003,0.9,Value Iteration,True,17,1344,7,True,0.005728800082579255
5,3,5003,0.9,Policy Iteration,True,17,10848,15,True,0.05489669996313751
5,3,5003,0.95,Value Iteration,True,17,1344,7,True,0.005760000087320805
5,3,5003,0.95,Policy Iteration,True,17,17376,14,True,0.06595700001344085
5,3,5003,0.99,Value Iteration,True,17,1344,7,True,0.008390000090003014
5,3,5003,0.99,Policy Iteration,True,17,72528,14,True,0.29017710010521114
10,1,10001,0.9,Value Iteration,True,81,42768,54,True,0.19603320001624525
10,1,10001,0.9,Policy Iteration,True,81,112464,71,True,0.46188030019402504
10,1,10001,0.95,Value Iteration,True,81,34056,43,True,0.14124000002630055
10,1,10001,0.95,Policy Iteration,True,81,136026,67,True,0.5533070999663323
10,1,10001,0.99,Value Iteration,True,81,34056,43,True,0.14286940009333193
10,1,10001,0.99,Policy Iteration,True,81,363726,66,True,1.4189649000763893
10,2,10002,0.9,Value Iteration,True,61,36432,46,True,0.16425990010611713
10,2,10002,0.9,Policy Iteration,True,61,98406,59,True,0.3837904001120478
10,2,10002,0.95,Value Iteration,True,61,30096,38,True,0.15761499991640449
10,2,10002,0.95,Policy Iteration,True,61,126126,59,True,0.4849390001036227
10,2,10002,0.99,Value Iteration,True,61,30096,38,True,0.1275189002044499
10,2,10002,0.99,Policy Iteration,True,61,351252,57,True,1.3939822998363525
10,3,10003,0.9,Value Iteration,True,85,44352,56,True,0.1825770998839289
10,3,10003,0.9,Policy Iteration,True,85,107514,66,True,0.4068392999470234
10,3,10003,0.95,Value Iteration,True,85,33264,42,True,0.1447771000675857
10,3,10003,0.95,Policy Iteration,True,85,133650,65,True,0.49363120016641915
10,3,10003,0.99,Value Iteration,True,85,33264,42,True,0.1422188999131322
10,3,10003,0.99,Policy Iteration,True,85,364716,67,True,1.4190951001364738
20,1,20001,0.9,Value Iteration,True,145,424536,133,True,1.7103106998838484
20,1,20001,0.9,Policy Iteration,True,145,930468,170,True,3.5550342998467386
20,1,20001,0.95,Value Iteration,True,145,600096,188,True,2.3609977001324296
20,1,20001,0.95,Policy Iteration,True,145,1056552,168,True,4.0751604998949915
20,1,20001,0.99,Value Iteration,True,145,402192,126,True,1.7785722999833524
20,1,20001,0.99,Policy Iteration,True,145,2038092,180,True,7.964197700144723
20,2,20002,0.9,Value Iteration,False,0,424536,133,True,1.6855812999419868
20,2,20002,0.9,Policy Iteration,False,0,1144332,225,True,4.373756600078195
20,2,20002,0.95,Value Iteration,False,0,865032,271,True,3.351476199924946
20,2,20002,0.95,Policy Iteration,True,405,1766772,320,True,6.713162699947134
20,2,20002,0.99,Value Iteration,True,405,944832,296,True,3.689185299910605
20,2,20002,0.99,Policy Iteration,True,405,2638188,305,True,10.24422169988975
20,3,20003,0.9,Value Iteration,False,0,424536,133,True,1.6509219999425113
20,3,20003,0.9,Policy Iteration,True,309,1232910,248,True,4.736210600007325
20,3,20003,0.95,Value Iteration,True,309,836304,262,True,3.2513588999863714
20,3,20003,0.95,Policy Iteration,True,309,1398894,238,True,5.379058500053361
20,3,20003,0.99,Value Iteration,True,309,638400,200,True,2.567454200005159
20,3,20003,0.99,Policy Iteration,True,309,2233602,220,True,8.65743639995344
