maze_size,run,seed,p_intended,algorithm,solved,path_length,nodes_explored,iterations,converged,elapsed_time_s
5,1,5001,0.7,Value Iteration,True,17,9792,51,True,0.04232400003820658
5,1,5001,0.7,Policy Iteration,True,17,91968,10,True,0.35574520006775856
5,1,5001,0.8,Value Iteration,True,17,7104,37,True,0.04829300008714199
5,1,5001,0.8,Policy Iteration,True,17,113568,8,True,0.46397410007193685
5,1,5001,0.9,Value Iteration,True,17,4992,26,True,0.034729599952697754
5,1,5001,0.9,Policy Iteration,True,17,93312,11,True,0.36703369999304414
5,1,5001,1.0,Value Iteration,True,17,1728,9,True,0.007986499927937984
5,1,5001,1.0,Policy Iteration,True,17,72816,18,True,0.2942429999820888
5,2,5002,0.7,Value Iteration,True,25,10752,56,True,0.06467290013097227
5,2,5002,0.7,Policy Iteration,True,25,104112,13,True,0.39369359984993935
5,2,5002,0.8,Value Iteration,True,25,8064,42,True,0.05383669980801642
5,2,5002,0.8,Policy Iteration,True,25,89232,9,True,0.3462942000478506
5,2,5002,0.9,Value Iteration,True,25,5760,30,True,0.03543470008298755
5,2,5002,0.9,Policy Iteration,True,25,171120,12,True,0.6659562001004815
5,2,5002,1.0,Value Iteration,True,25,2112,11,True,0.009543100139126182
5,2,5002,1.0,Policy Iteration,True,25,73728,21,True,0.3047611000947654
5,3,5003,0.7,Value Iteration,True,17,9024,47,True,0.045851599890738726
5,3,5003,0.7,Policy Iteration,True,17,98256,10,True,0.39534579985775054
5,3,5003,0.8,Value Iteration,True,17,6528,34,True,0.07243419997394085
5,3,5003,0.8,Policy Iteration,True,17,113136,8,True,0.4250791999511421
5,3,5003,0.9,Value Iteration,True,17,4416,23,True,0.018134300131350756
5,3,5003,0.9,Policy Iteration,True,17,85536,9,True,0.3432295999955386
5,3,5003,1.0,Value Iteration,True,17,1344,7,True,0.011934800073504448
5,3,5003,1.0,Policy Iteration,True,17,72288,16,True,0.2816079999320209
10,1,10001,0.7,Value Iteration,True,81,106128,134,True,0.42337329988367856
10,1,10001,0.7,Policy Iteration,True,81,1007226,49,True,3.910945799900219
10,1,10001,0.8,Value Iteration,True,81,80784,102,True,0.31453839992173016
10,1,10001,0.8,Policy Iteration,True,81,1204038,33,True,4.651258900063112
10,1,10001,0.9,Value Iteration,True,81,60192,76,True,0.23973069991916418
10,1,10001,0.9,Policy Iteration,True,81,1855656,37,True,7.167841899907216
10,1,10001,1.0,Value Iteration,True,81,34056,43,True,0.14873420004732907
10,1,10001,1.0,Policy Iteration,True,81,360360,63,True,1.4109843000769615
10,2,10002,0.7,Value Iteration,True,61,99000,125,True,0.3775271999184042
10,2,10002,0.7,Policy Iteration,True,61,765864,26,True,2.9709632000885904
10,2,10002,0.8,Value Iteration,True,61,74448,94,True,0.3116037000436336
10,2,10002,0.8,Policy Iteration,True,61,707058,23,True,2.736520400037989
10,2,10002,0.9,Value Iteration,True,61,55440,70,True,0.2407229000236839
10,2,10002,0.9,Policy Iteration,True,61,673596,32,True,2.6285447999835014
10,2,10002,1.0,Value Iteration,True,61,30096,38,True,0.13429670012556016
10,2,10002,1.0,Policy Iteration,True,61,351054,60,True,1.3571528000757098
10,3,10003,0.7,Value Iteration,True,85,105336,133,True,0.44080640003085136
10,3,10003,0.7,Policy Iteration,True,85,685476,27,True,2.676073999842629
10,3,10003,0.8,Value Iteration,True,85,79992,101,True,0.33415229991078377
10,3,10003,0.8,Policy Iteration,True,85,1090188,29,True,4.321498000063002
10,3,10003,0.9,Value Iteration,True,85,60192,76,True,0.2383431000635028
10,3,10003,0.9,Policy Iteration,True,85,1265616,29,True,4.906765599967912
10,3,10003,1.0,Value Iteration,True,85,33264,42,True,0.15203539980575442
10,3,10003,1.0,Policy Iteration,True,85,365310,68,True,1.421741500031203
20,1,20001,0.7,Value Iteration,True,145,957600,300,True,3.711907000048086
20,1,20001,0.7,Policy Iteration,True,145,11026764,84,True,43.423759900033474
